address,number,open,available,free,total,ticket,updated_at,geo_shape,geo_point_2d,update_jcd
"Barcas, 11",40,T,0,26,26,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3748243837183276, 39.470466319701956], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3748243837183276, 'lat': 39.470466319701956}",2025-06-14T11:58:02+00:00
Plaza del Musico López Chavarri,3,T,5,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3802883976424855, 39.4768353435743], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3802883976424855, 'lat': 39.4768353435743}",2025-06-14T11:58:13+00:00
Juan Verdeguer - Toneleros,67,T,3,11,14,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33679826304022287, 39.45886026320377], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33679826304022287, 'lat': 39.45886026320377}",2025-06-14T11:54:39+00:00
Av. Puerto - Plaza Tribunal de les Aigües,71,T,1,18,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33353125122308164, 39.46038026686525], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33353125122308164, 'lat': 39.46038026686525}",2025-06-14T12:01:53+00:00
Jerónimo Monsoriu - Industria,73,T,9,11,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3428792786496773, 39.4662592905475], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3428792786496773, 'lat': 39.4662592905475}",2025-06-14T12:00:43+00:00
Micer Mascó - Rodriguez Fornos,81,T,5,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36097833354659675, 39.47512832851177], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36097833354659675, 'lat': 39.47512832851177}",2025-06-14T12:00:23+00:00
General Elio - Llano del Real,83,T,16,9,25,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3669703519914759, 39.47758533929587], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3669703519914759, 'lat': 39.47758533929587}",2025-06-14T12:00:39+00:00
"Serrería, 67",84,T,8,7,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.33522597686590844, 39.467123092394516], 'type': 'Point'}, 'properties': {}}","{'lon': -0.33522597686590844, 'lat': 39.467123092394516}",2025-06-14T12:01:37+00:00
Gaspar Aguilar - Vicente Parra,86,T,1,19,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39119345191575566, 39.4552402764855], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39119345191575566, 'lat': 39.4552402764855}",2025-06-14T11:53:15+00:00
Salvador Giner - C. Museo,2,T,3,12,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3797483936090024, 39.479889353348874], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3797483936090024, 'lat': 39.479889353348874}",2025-06-14T11:59:36+00:00
Conde Altea - Almirante Cadarso,32,T,7,13,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3682473649948816, 39.46600630156446], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3682473649948816, 'lat': 39.46600630156446}",2025-06-14T11:53:16+00:00
Blasco Ibañez - Clariano,94,T,5,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35158330144926053, 39.47537832465668], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35158330144926053, 'lat': 39.47537832465668}",2025-06-14T12:01:54+00:00
Blasco Ibañez - Yecla,96,T,4,17,21,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3482142912637639, 39.47355431688417], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3482142912637639, 'lat': 39.47355431688417}",2025-06-14T12:01:03+00:00
